Date,Location,Average Temperature,Temperature Range (Low),Temperature Range (High),Average Humidity,Number of insects,New catches,Event
2024-07-06,Cicalino 1,22.34,21.53,23.12,72.25,0.0,0.0,0.0
2024-07-06,Cicalino 2,26.17,25.28,27.0,56.06,0.0,0.0,0.0
2024-07-06,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-06,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-06,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-07,Cicalino 1,23.52,22.91,24.13,76.73,0.0,0.0,0.0
2024-07-07,Cicalino 2,26.17,25.28,27.0,56.06,0.0,0.0,0.0
2024-07-07,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-07,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-07,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-08,Cicalino 1,25.67,24.69,26.56,69.14,0.0,0.0,0.0
2024-07-08,Cicalino 2,26.17,25.28,27.0,56.06,0.0,0.0,0.0
2024-07-08,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-08,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-08,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-09,Cicalino 1,25.87,24.85,26.83,53.65,0.0,0.0,0.0
2024-07-09,Cicalino 2,26.17,25.28,27.0,56.06,0.0,0.0,0.0
2024-07-09,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-09,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-09,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-10,Cicalino 1,26.41,25.42,27.33,58.94,0.0,0.0,1.0
2024-07-10,Cicalino 2,26.17,25.28,27.0,56.06,0.0,0.0,0.0
2024-07-10,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-10,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-10,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-11,Cicalino 1,26.26,25.13,27.3,54.39,0.0,0.0,0.0
2024-07-11,Cicalino 2,26.17,25.28,27.0,56.06,0.0,0.0,1.0
2024-07-11,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-11,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-11,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-12,Cicalino 1,26.17,25.29,27.01,57.75,0.0,0.0,0.0
2024-07-12,Cicalino 2,26.56,25.54,27.57,57.27,0.0,0.0,0.0
2024-07-12,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-12,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-12,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-13,Cicalino 1,25.49,24.55,26.42,69.14,0.0,0.0,0.0
2024-07-13,Cicalino 2,25.91,24.88,26.95,67.64,0.0,0.0,0.0
2024-07-13,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-13,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-13,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-14,Cicalino 1,25.96,25.12,26.81,68.73,1.0,1.0,0.0
2024-07-14,Cicalino 2,26.43,25.51,27.36,67.37,0.0,0.0,0.0
2024-07-14,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-14,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-14,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-15,Cicalino 1,26.98,26.0,27.88,57.12,1.0,0.0,0.0
2024-07-15,Cicalino 2,27.31,26.19,28.35,56.81,0.0,0.0,0.0
2024-07-15,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-15,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-15,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-16,Cicalino 1,26.46,25.4,27.42,55.91,2.0,1.0,0.0
2024-07-16,Cicalino 2,26.47,25.58,27.37,56.24,0.0,0.0,0.0
2024-07-16,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-16,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-16,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-17,Cicalino 1,27.66,26.62,28.67,55.03,1.0,1.0,1.0
2024-07-17,Cicalino 2,27.43,26.33,28.52,55.76,0.0,0.0,0.0
2024-07-17,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-17,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-17,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-18,Cicalino 1,27.05,26.02,28.1,52.11,1.0,0.0,0.0
2024-07-18,Cicalino 2,26.86,25.95,27.87,53.36,0.0,0.0,0.0
2024-07-18,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-18,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-18,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-19,Cicalino 1,27.72,26.69,28.62,54.54,1.0,0.0,0.0
2024-07-19,Cicalino 2,27.89,26.99,28.75,54.5,1.0,1.0,1.0
2024-07-19,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-19,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-19,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-20,Cicalino 1,26.83,25.9,27.72,63.96,1.0,0.0,0.0
2024-07-20,Cicalino 2,26.82,25.91,27.82,63.39,2.0,1.0,0.0
2024-07-20,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-20,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-20,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-21,Cicalino 1,26.6,25.7,27.45,67.95,1.0,1.0,1.0
2024-07-21,Cicalino 2,27.06,26.06,28.06,65.77,2.0,0.0,0.0
2024-07-21,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-21,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-21,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-22,Cicalino 1,25.07,23.96,26.19,73.41,2.0,1.0,0.0
2024-07-22,Cicalino 2,25.67,24.47,26.83,69.78,2.0,0.0,0.0
2024-07-22,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-22,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-22,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-23,Cicalino 1,26.94,26.19,27.65,66.84,0.0,0.0,0.0
2024-07-23,Cicalino 2,27.09,26.38,27.95,64.54,2.0,0.0,0.0
2024-07-23,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-23,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-23,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-24,Cicalino 1,27.92,26.87,29.0,62.3,0.0,0.0,0.0
2024-07-24,Cicalino 2,28.08,26.95,29.25,61.77,1.0,1.0,1.0
2024-07-24,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-24,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-24,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-25,Cicalino 1,28.34,27.35,29.27,58.56,1.0,1.0,0.0
2024-07-25,Cicalino 2,28.67,27.45,29.67,58.13,1.0,1.0,1.0
2024-07-25,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-25,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-25,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-26,Cicalino 1,27.53,26.71,28.34,65.52,1.0,0.0,0.0
2024-07-26,Cicalino 2,27.9,26.96,28.9,65.34,1.0,0.0,0.0
2024-07-26,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-26,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-26,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-27,Cicalino 1,27.46,26.58,28.33,63.67,1.0,0.0,0.0
2024-07-27,Cicalino 2,27.56,26.55,28.5,63.17,1.0,0.0,0.0
2024-07-27,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-27,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-27,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-28,Cicalino 1,27.36,26.38,28.31,57.7,3.0,2.0,0.0
2024-07-28,Cicalino 2,27.36,26.42,28.39,57.8,0.0,0.0,0.0
2024-07-28,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-28,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-28,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-29,Cicalino 1,28.6,27.67,29.48,51.48,0.0,0.0,1.0
2024-07-29,Cicalino 2,28.67,27.71,29.72,52.1,0.0,0.0,1.0
2024-07-29,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-29,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-29,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-30,Cicalino 1,30.7,29.75,31.79,45.11,0.0,0.0,0.0
2024-07-30,Cicalino 2,30.49,29.42,31.72,45.98,0.0,0.0,0.0
2024-07-30,Imola 1,29.68,29.11,30.24,42.93,0.0,0.0,0.0
2024-07-30,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-30,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-07-31,Cicalino 1,29.78,28.94,30.68,52.01,0.0,0.0,0.0
2024-07-31,Cicalino 2,29.88,28.86,30.98,51.84,0.0,0.0,0.0
2024-07-31,Imola 1,29.02,28.28,29.77,51.39,0.0,0.0,0.0
2024-07-31,Imola 2,28.83,28.04,29.76,52.45,0.0,0.0,0.0
2024-07-31,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-08-01,Cicalino 1,28.06,27.17,28.96,53.08,0.0,0.0,0.0
2024-08-01,Cicalino 2,28.26,27.35,29.33,53.05,0.0,0.0,0.0
2024-08-01,Imola 1,31.08,30.27,31.82,44.15,0.0,0.0,0.0
2024-08-01,Imola 2,31.06,30.33,31.75,43.43,0.0,0.0,0.0
2024-08-01,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-08-02,Cicalino 1,27.51,26.58,28.33,70.19,0.0,0.0,0.0
2024-08-02,Cicalino 2,28.03,26.89,29.03,67.7,0.0,0.0,0.0
2024-08-02,Imola 1,27.97,27.24,28.77,65.76,0.0,0.0,0.0
2024-08-02,Imola 2,27.93,27.18,28.7,65.88,0.0,0.0,0.0
2024-08-02,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-08-03,Cicalino 1,27.08,26.25,28.12,74.0,0.0,0.0,1.0
2024-08-03,Cicalino 2,27.53,26.42,28.66,72.16,0.0,0.0,0.0
2024-08-03,Imola 1,25.77,25.01,26.63,71.85,0.0,0.0,0.0
2024-08-03,Imola 2,25.84,25.14,26.7,72.74,0.0,0.0,0.0
2024-08-03,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-08-04,Cicalino 1,27.02,26.12,27.92,66.26,0.0,0.0,1.0
2024-08-04,Cicalino 2,27.52,26.56,28.39,63.77,0.0,0.0,1.0
2024-08-04,Imola 1,27.27,26.63,28.03,59.92,0.0,0.0,0.0
2024-08-04,Imola 2,26.76,26.02,27.6,63.1,0.0,0.0,1.0
2024-08-04,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-08-05,Cicalino 1,28.28,27.44,29.19,57.19,0.0,0.0,0.0
2024-08-05,Cicalino 2,28.54,27.6,29.55,56.65,0.0,0.0,0.0
2024-08-05,Imola 1,27.27,26.63,28.03,59.92,0.0,0.0,0.0
2024-08-05,Imola 2,27.46,26.72,28.17,55.41,0.0,0.0,0.0
2024-08-05,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-08-06,Cicalino 1,27.45,26.58,28.33,65.48,1.0,1.0,0.0
2024-08-06,Cicalino 2,27.49,26.5,28.6,63.97,0.0,0.0,0.0
2024-08-06,Imola 1,28.38,27.69,29.0,59.12,0.0,0.0,0.0
2024-08-06,Imola 2,28.1,27.34,28.78,60.94,0.0,0.0,0.0
2024-08-06,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-08-07,Cicalino 1,26.97,26.02,27.95,64.51,1.0,0.0,0.0
2024-08-07,Cicalino 2,27.08,26.15,28.01,63.23,0.0,0.0,0.0
2024-08-07,Imola 1,27.29,26.41,28.17,64.45,0.0,0.0,0.0
2024-08-07,Imola 2,27.25,26.32,28.15,65.07,0.0,0.0,0.0
2024-08-07,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-08-08,Cicalino 1,26.98,26.0,27.86,62.83,1.0,0.0,0.0
2024-08-08,Cicalino 2,27.0,26.11,27.9,62.45,0.0,0.0,0.0
2024-08-08,Imola 1,26.32,25.67,27.0,65.97,0.0,0.0,1.0
2024-08-08,Imola 2,26.31,25.64,26.98,66.44,0.0,0.0,0.0
2024-08-08,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-08-09,Cicalino 1,28.13,27.31,28.96,63.41,1.0,0.0,0.0
2024-08-09,Cicalino 2,28.22,27.41,29.09,62.9,0.0,0.0,0.0
2024-08-09,Imola 1,28.26,27.56,28.94,60.57,0.0,0.0,0.0
2024-08-09,Imola 2,28.15,27.45,28.93,62.01,0.0,0.0,0.0
2024-08-09,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-08-10,Cicalino 1,29.73,28.72,30.62,50.94,0.0,0.0,1.0
2024-08-10,Cicalino 2,30.08,28.92,31.17,50.5,0.0,0.0,1.0
2024-08-10,Imola 1,29.51,28.78,30.2,55.92,0.0,0.0,0.0
2024-08-10,Imola 2,29.41,28.64,30.21,56.91,0.0,0.0,0.0
2024-08-10,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-08-11,Cicalino 1,29.82,28.96,30.65,56.44,0.0,0.0,0.0
2024-08-11,Cicalino 2,30.19,29.23,31.1,56.14,0.0,0.0,0.0
2024-08-11,Imola 1,30.02,29.29,30.83,53.05,0.0,0.0,0.0
2024-08-11,Imola 2,30.1,29.36,30.88,53.18,0.0,0.0,0.0
2024-08-11,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-08-12,Cicalino 1,29.87,28.97,30.63,52.52,0.0,0.0,0.0
2024-08-12,Cicalino 2,30.22,29.29,31.11,52.6,0.0,0.0,0.0
2024-08-12,Imola 1,30.41,29.67,31.1,51.13,0.0,0.0,0.0
2024-08-12,Imola 2,30.6,29.85,31.36,50.35,0.0,0.0,1.0
2024-08-12,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-08-13,Cicalino 1,28.99,28.1,29.87,49.21,0.0,0.0,0.0
2024-08-13,Cicalino 2,29.37,28.47,30.26,49.74,0.0,0.0,0.0
2024-08-13,Imola 1,29.97,29.06,30.95,52.4,0.0,0.0,1.0
2024-08-13,Imola 2,30.08,29.12,30.99,52.12,0.0,0.0,0.0
2024-08-13,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-08-14,Cicalino 1,28.04,27.15,28.89,63.81,0.0,0.0,0.0
2024-08-14,Cicalino 2,28.3,27.4,29.25,62.72,0.0,0.0,0.0
2024-08-14,Imola 1,29.15,28.31,30.14,54.01,0.0,0.0,0.0
2024-08-14,Imola 2,29.11,28.2,30.01,54.67,0.0,0.0,0.0
2024-08-14,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-08-15,Cicalino 1,25.8,24.83,26.68,66.22,0.0,0.0,0.0
2024-08-15,Cicalino 2,26.49,25.4,27.51,63.13,0.0,0.0,0.0
2024-08-15,Imola 1,26.94,26.41,27.5,63.04,0.0,0.0,0.0
2024-08-15,Imola 2,26.87,26.26,27.5,64.11,0.0,0.0,0.0
2024-08-15,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-08-16,Cicalino 1,27.37,26.52,28.22,61.59,0.0,0.0,1.0
2024-08-16,Cicalino 2,27.77,26.86,28.72,60.79,0.0,0.0,0.0
2024-08-16,Imola 1,28.34,27.56,29.05,61.34,0.0,0.0,0.0
2024-08-16,Imola 2,28.22,27.43,28.93,62.23,0.0,0.0,0.0
2024-08-16,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-08-17,Cicalino 1,27.19,26.08,28.3,64.31,0.0,0.0,0.0
2024-08-17,Cicalino 2,27.69,26.54,28.81,62.15,0.0,0.0,0.0
2024-08-17,Imola 1,26.83,25.77,27.69,65.86,1.0,1.0,0.0
2024-08-17,Imola 2,26.63,25.54,27.52,67.24,0.0,0.0,0.0
2024-08-17,Imola 3,26.89,25.77,27.85,64.88,0.0,0.0,0.0
2024-08-18,Cicalino 1,23.34,22.3,24.49,83.13,0.0,0.0,0.0
2024-08-18,Cicalino 2,23.77,22.59,25.12,80.1,0.0,0.0,0.0
2024-08-18,Imola 1,25.52,24.87,26.21,66.26,1.0,0.0,0.0
2024-08-18,Imola 2,25.46,24.8,26.21,67.56,1.0,1.0,0.0
2024-08-18,Imola 3,25.89,25.14,26.67,64.84,0.0,0.0,0.0
2024-08-19,Cicalino 1,23.02,22.28,23.89,76.18,0.0,0.0,0.0
2024-08-19,Cicalino 2,23.27,22.41,24.24,74.25,0.0,0.0,1.0
2024-08-19,Imola 1,21.44,21.03,21.88,84.76,0.0,0.0,1.0
2024-08-19,Imola 2,21.62,21.2,22.08,84.26,0.0,0.0,1.0
2024-08-19,Imola 3,21.65,21.19,22.18,83.21,0.0,0.0,0.0
2024-08-20,Cicalino 1,24.3,23.53,25.12,72.73,0.0,0.0,0.0
2024-08-20,Cicalino 2,24.45,23.64,25.36,71.57,0.0,0.0,0.0
2024-08-20,Imola 1,22.89,22.4,23.61,89.0,4.0,4.0,0.0
2024-08-20,Imola 2,22.82,22.35,23.52,89.07,0.0,0.0,0.0
2024-08-20,Imola 3,23.0,22.5,23.73,87.47,1.0,1.0,0.0
2024-08-21,Cicalino 1,26.3,25.51,27.07,69.62,0.0,0.0,0.0
2024-08-21,Cicalino 2,26.12,25.28,26.96,69.18,0.0,0.0,0.0
2024-08-21,Imola 1,26.66,26.06,27.19,68.14,2.0,0.0,0.0
2024-08-21,Imola 2,26.9,26.25,27.47,67.16,0.0,0.0,0.0
2024-08-21,Imola 3,26.95,26.26,27.54,66.22,1.0,0.0,0.0
2024-08-22,Cicalino 1,26.74,25.91,27.65,64.07,0.0,0.0,1.0
2024-08-22,Cicalino 2,27.02,26.2,27.93,63.95,0.0,0.0,0.0
2024-08-22,Imola 1,25.99,25.4,26.59,71.87,4.0,2.0,0.0
2024-08-22,Imola 2,25.71,25.1,26.36,73.51,0.0,0.0,0.0
2024-08-22,Imola 3,25.77,25.07,26.48,72.59,2.0,1.0,0.0
2024-08-23,Cicalino 1,19.61,19.34,19.86,87.62,0.0,0.0,0.0
2024-08-23,Cicalino 2,19.74,19.48,20.08,89.87,1.0,1.0,0.0
2024-08-23,Imola 1,23.26,23.1,23.4,88.6,5.0,1.0,0.0
2024-08-23,Imola 2,22.59,22.5,22.7,92.1,0.0,0.0,0.0
2024-08-23,Imola 3,22.74,22.7,22.8,90.89,3.0,1.0,0.0
